"","gridID","Patrol.ID","Type","Patrol.Start.Date","Patrol.End.Date","Station","Team","Mandate","Armed","Patrol.Leg.ID","Leader","Patrol.Transport.Type","Waypoint.ID","Waypoint.Date","Waypoint.Time","Last.Modified","Last.Modified.By","Observation.Category.0","Observation.Category.1","Position.Type","Species","Total.number","river_distance","road_distance","water_distance","Number","Dam","North","East","Elevation","Storage.Estimate","Description","Estimated.Class","Permit.Needed","Freeboard..m.","Width..m.","Fetch..m.","Spillway.Width..m.","Height..m.","Water.Depth..m.","Approximate.Volume..m.3."
"280",728,"SMART_001881","Ground","3-Feb-20","3-Feb-20","Kikingi","Kikingi","Security","No",1,"Joseph Lesoyo lanet","Foot",4,"3-Feb-20","11:27:01","2/4/20 7:33","David Hewett","Wildlife Sightings","Live animals",NA,"Plains Zebra",10,312.923448905945,179.144612165689,261.365822608471,4,"Small Black Cotton Dam",38739,261510,"1783","3,642","Steep D/S Slopes, online main Karunga Lagga","A","2",164,90,5,3.5,1.5,"3,642",""
"281",728,"SMART_001881","Ground","3-Feb-20","3-Feb-20","Kikingi","Kikingi","Security","No",1,"Joseph Lesoyo lanet","Foot",4,"3-Feb-20","11:27:01","2/4/20 7:33","David Hewett","Wildlife Sightings","Live animals",NA,"Impala",2,312.923448905945,179.144612165689,261.365822608471,4,"Small Black Cotton Dam",38739,261510,"1783","3,642","Steep D/S Slopes, online main Karunga Lagga","A","2",164,90,5,3.5,1.5,"3,642",""
"282",728,"SMART_002081","Ground","7-Feb-20","7-Feb-20","Kikingi","Kikingi","Security","No",1,"Joseph Lesoyo lanet","Foot",7,"7-Feb-20","12:48:04","4/4/20 7:19","David Hewett","Wildlife Sightings","Live animals",NA,"Plains Zebra",35,312.923448905945,179.144612165689,261.365822608471,4,"Small Black Cotton Dam",38739,261510,"1783","3,642","Steep D/S Slopes, online main Karunga Lagga","A","2",164,90,5,3.5,1.5,"3,642",""
"283",730,"SMART_001881","Ground","3-Feb-20","3-Feb-20","Kikingi","Kikingi","Security","No",1,"Joseph Lesoyo lanet","Foot",5,"3-Feb-20","12:01:51","2/4/20 7:33","David Hewett","Wildlife Sightings","Live animals",NA,"Grant's Gazelle",7,421.156750946045,506.710926361084,671.485320739746,22,"Wildlife Weir",37358.509,263539.069,"1763","11,293","Rubble Stone ALDEV Wall, Position may use WGS84 datum","A","0",88,220,88,3.5,3.5,"11,293",""
"284",732,"SMART_002083","Ground","9-Feb-20","9-Feb-20","Kikingi","Kikingi","Security","No",1,"Joseph Lesoyo lanet","Foot",6,"9-Feb-20","11:30:41","4/4/20 7:19","David Hewett","Wildlife Sightings","Live animals",NA,"Plains Zebra",37,737.953717880249,341.142332572937,663.956609191895,22,"Wildlife Weir",37358.509,263539.069,"1763","11,293","Rubble Stone ALDEV Wall, Position may use WGS84 datum","A","0",88,220,88,3.5,3.5,"11,293",""
"285",736,"SMART_001900","Ground","21-Jan-20","21-Jan-20","MRL","NPR 1","Security","No",1,"Eric Raipon Ererii","Vehicle",7,"21-Jan-20","11:17:43","2/5/20 9:16","David Hewett","Wildlife Sightings","Live animals",NA,"Grant's Gazelle",4,470.239653015137,108.595648458004,866.197499847412,16,"Nyanja One",36931,264775,"1724","2,516","Rubble Stone ALDEV Wall","A","Maybe",0,30,68,30,3.7,"3.7","2,516"
"286",736,"SMART_001878","Ground","28-Jan-20","28-Jan-20","Kikingi","Kikingi","Security","No",1,"Joseph Lesoyo lanet","Foot",1,"28-Jan-20","8:31:59","2/4/20 7:33","David Hewett","Wildlife Sightings","Live animals",NA,"Ostrich",1,470.239653015137,108.595648458004,866.197499847412,16,"Nyanja One",36931,264775,"1724","2,516","Rubble Stone ALDEV Wall","A","Maybe",0,30,68,30,3.7,"3.7","2,516"
"287",737,"SMART_002083","Ground","9-Feb-20","9-Feb-20","Kikingi","Kikingi","Security","No",1,"Joseph Lesoyo lanet","Foot",2,"9-Feb-20","9:44:19","4/4/20 7:19","David Hewett","Wildlife Sightings","Live animals",NA,"Grant's Gazelle",1,272.04621201992,348.343236675262,938.58555557251,16,"Nyanja One",36931,264775,"1724","2,516","Rubble Stone ALDEV Wall","A","Maybe",0,30,68,30,3.7,"3.7","2,516"
"288",737,"SMART_002083","Ground","9-Feb-20","9-Feb-20","Kikingi","Kikingi","Security","No",1,"Joseph Lesoyo lanet","Foot",2,"9-Feb-20","9:44:19","4/4/20 7:19","David Hewett","Wildlife Sightings","Live animals",NA,"Vulturine guinea fowl",5,272.04621201992,348.343236675262,938.58555557251,16,"Nyanja One",36931,264775,"1724","2,516","Rubble Stone ALDEV Wall","A","Maybe",0,30,68,30,3.7,"3.7","2,516"
"289",737,"SMART_002083","Ground","9-Feb-20","9-Feb-20","Kikingi","Kikingi","Security","No",1,"Joseph Lesoyo lanet","Foot",2,"9-Feb-20","9:44:19","4/4/20 7:19","David Hewett","Wildlife Sightings","Live animals",NA," Warthog",2,272.04621201992,348.343236675262,938.58555557251,16,"Nyanja One",36931,264775,"1724","2,516","Rubble Stone ALDEV Wall","A","Maybe",0,30,68,30,3.7,"3.7","2,516"
